station_id,name,dist_to_stop_m,stops_300m,routes_300m,idx_intermodal_300m
18,VIA VANNETTI (sede PAT),106.26886295238748,7,51,32.5
7,BIBLIOTECA via Torre Vanga/via Alfieri,169.80620364152966,5,36,23.0
6,STAZIONE AUTOCORRIERE via Pozzo/via Torre Vanga,127.74169645997402,4,29,18.5
2,TOP CENTER,58.65338095456982,8,17,16.5
16,VIA BEZZI angolo via Vittorio Veneto,58.20441001815658,7,19,16.5
23,STUDENTATO MAYER corso Buonarroti,240.5107017964413,3,25,15.5
24,VERONA viale Verona/via Olmi,224.87969775694862,5,20,15.0
8,UNIVERSITA' via Rosmini,130.20839504265516,3,23,14.5
27,GARDOLO-EX SEGHERIA via Feininger/piazzale Groff,123.0383836702644,5,18,14.0
21,EX ATESINA - LIDL via Del Brennero,41.97655228582302,4,18,13.0
